"Run","p","OR","a","b","c","d","tissue"
"Run_Down8_Locus",0.791204083473272,0.714806507677621,3,12,11,37,"Thyroid"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Uterus"
"Run_Down8_Locus",NA,NA,NA,NA,NA,NA,"Vagina"
"Run_Down8_Locus",0.23399209486166,3.94973299717462,2,4,6,25,"Whole_Blood"
"Run_Down24_Locus",0.0722120707492531,3.85435359360427,5,10,12,45,"Adipose_Subcutaneous"
"Run_Down24_Locus",0.428953399541635,1.87892747054273,2,10,5,36,"Adipose_Visceral_Omentum"
"Run_Down24_Locus",0.539243365330322,1.93195871915584,1,5,3,23,"Adrenal_Gland"
"Run_Down24_Locus",0.0263713989994825,11.8694925365008,3,5,6,35,"Artery_Aorta"
"Run_Down24_Locus",0.166666666666667,Inf,1,1,2,12,"Artery_Coronary"
"Run_Down24_Locus",0.100519593263401,4.77800972163535,3,7,7,38,"Artery_Tibial"
"Run_Down24_Locus",0.25,Inf,1,2,1,8,"Brain_Amygdala"
"Run_Down24_Locus",0.0571428571428572,Inf,2,4,2,15,"Brain_Anterior_cingulate_cortex_BA24"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Caudate_basal_ganglia"
"Run_Down24_Locus",0.193548387096774,Inf,1,6,1,31,"Brain_Cerebellar_Hemisphere"
"Run_Down24_Locus",0.446086480569239,2.63002470184508,1,5,3,29,"Brain_Cerebellum"
"Run_Down24_Locus",0.0824786324786325,6.48136382362602,3,7,5,28,"Brain_Cortex"
"Run_Down24_Locus",0.230769230769231,Inf,1,3,1,13,"Brain_Frontal_Cortex_BA9"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Hippocampus"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Hypothalamus"
"Run_Down24_Locus",0.324110671936759,5.33861737210693,1,4,2,23,"Brain_Nucleus_accumbens_basal_ganglia"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Putamen_basal_ganglia"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Spinal_cord_cervical_c-1"
"Run_Down24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Substantia_nigra"
"Run_Down24_Locus",0.224521072796935,3.95059887618953,2,7,4,30,"Breast_Mammary_Tissue"
"Run_Down24_Locus",0.519459204020183,1.27850751129146,3,10,12,46,"Cells_Cultured_fibroblasts"
"Run_Down24_Locus",0.467836257309941,3.01640804465977,1,5,2,19,"Cells_EBV-transformed_lymphocytes"
"Run_Down24_Locus",0.690650653694132,1.0600010712317,1,5,5,26,"Colon_Sigmoid"
"Run_Down24_Locus",0.150444938820912,5.53334512046371,2,6,4,32,"Colon_Transverse"
"Run_Down24_Locus",0.254347185381668,3.31975186220765,2,6,5,30,"Esophagus_Gastroesophageal_Junction"
"Run_Down24_Locus",0.106497241546677,3.82705982796689,4,10,8,38,"Esophagus_Mucosa"
"Run_Down24_Locus",0.643481717011129,1.04629285199894,2,8,9,37,"Esophagus_Muscularis"
